,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,churn
1,KS,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,2,2,2,3,2,2,0,no
2,OH,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,3,2,2,3,2,3,0,no
3,NJ,Igual ou superior à média,415,no,no,Inferior à média,3,3,1,2,1,2,3,1,no
4,OH,Inferior à média,408,yes,no,Inferior à média,4,1,0,1,2,2,1,2,no
5,OK,Inferior à média,415,yes,no,Inferior à média,2,3,1,3,2,3,2,0,no
6,AL,Igual ou superior à média,510,yes,no,Inferior à média,3,2,2,2,2,3,1,2,no
7,MA,Igual ou superior à média,510,no,yes,Igual ou superior à média,3,1,4,2,2,3,1,2,no
8,MO,Igual ou superior à média,415,yes,no,Inferior à média,2,1,0,2,2,2,1,2,no
9,LA,Igual ou superior à média,408,no,no,Inferior à média,2,2,4,1,2,2,2,1,no
10,WV,Igual ou superior à média,415,yes,yes,Igual ou superior à média,3,1,2,2,4,2,2,1,no
11,IN,Inferior à média,415,no,no,Inferior à média,1,4,2,1,2,2,3,2,yes
12,RI,Inferior à média,415,no,no,Inferior à média,2,3,1,4,2,2,2,1,no
13,IA,Igual ou superior à média,408,no,no,Inferior à média,1,2,0,1,1,3,2,0,no
14,MT,Inferior à média,510,no,no,Inferior à média,2,1,3,1,2,3,3,1,no
15,IA,Inferior à média,415,no,no,Inferior à média,1,1,4,1,2,2,3,2,no
16,NY,Igual ou superior à média,415,no,no,Inferior à média,4,1,4,2,1,3,1,3,yes
17,ID,Inferior à média,408,no,yes,Igual ou superior à média,2,4,3,2,0,1,3,1,no
18,VT,Inferior à média,510,no,no,Inferior à média,2,3,2,2,1,3,1,0,no
19,VA,Inferior à média,510,no,yes,Igual ou superior à média,2,1,2,0,1,2,2,1,no
20,TX,Inferior à média,415,no,no,Inferior à média,3,2,1,1,2,1,3,0,no
21,FL,Igual ou superior à média,415,no,no,Inferior à média,2,3,3,2,2,3,2,1,no
22,CO,Inferior à média,408,no,no,Inferior à média,0,1,1,3,2,0,1,2,yes
24,SC,Igual ou superior à média,415,no,no,Inferior à média,1,2,1,2,2,2,1,2,no
25,VA,Igual ou superior à média,510,no,no,Inferior à média,0,1,3,1,3,3,2,0,no
26,NE,Igual ou superior à média,415,no,no,Inferior à média,1,1,3,2,3,3,4,1,no
27,WY,Inferior à média,408,no,yes,Igual ou superior à média,3,3,2,2,2,3,2,0,no
28,MT,Inferior à média,408,no,no,Inferior à média,1,1,1,2,0,1,3,1,no
29,MO,Inferior à média,415,no,no,Inferior à média,2,2,3,1,2,2,1,2,no
30,HI,Inferior à média,510,no,no,Inferior à média,1,3,2,2,2,2,2,0,no
31,IL,Igual ou superior à média,415,no,no,Inferior à média,1,2,1,0,3,4,3,2,no
32,NH,Inferior à média,510,no,no,Inferior à média,3,2,2,2,3,2,2,1,no
34,AZ,Inferior à média,408,no,no,Inferior à média,3,3,3,3,3,2,2,0,yes
35,OK,Inferior à média,408,no,yes,Igual ou superior à média,2,2,2,1,2,3,1,1,no
36,GA,Inferior à média,415,no,yes,Igual ou superior à média,3,1,2,2,1,1,3,2,no
37,AK,Inferior à média,408,no,yes,Igual ou superior à média,2,3,1,1,1,2,3,2,no
38,MA,Inferior à média,415,no,no,Inferior à média,1,0,2,3,2,2,2,1,no
39,AK,Igual ou superior à média,415,yes,yes,Igual ou superior à média,2,2,2,2,0,2,2,2,no
40,NJ,Igual ou superior à média,408,no,no,Inferior à média,1,2,3,2,2,2,2,3,no
41,GA,Inferior à média,408,no,no,Inferior à média,1,2,1,1,2,4,2,0,no
43,AR,Inferior à média,510,no,no,Inferior à média,1,1,3,2,4,1,2,1,no
44,ID,Igual ou superior à média,415,no,no,Inferior à média,1,1,1,2,2,2,2,1,no
45,WI,Inferior à média,510,no,no,Inferior à média,2,1,2,3,3,1,0,0,no
46,OR,Inferior à média,408,no,yes,Igual ou superior à média,1,2,2,2,1,3,1,1,no
47,MI,Inferior à média,415,no,no,Inferior à média,3,3,1,3,1,3,3,1,no
48,DE,Igual ou superior à média,408,no,no,Inferior à média,2,3,1,1,3,3,1,1,no
49,ID,Igual ou superior à média,415,no,no,Inferior à média,2,3,3,3,1,2,2,0,yes
50,WY,Inferior à média,415,no,yes,Igual ou superior à média,1,3,2,0,0,1,2,0,no
51,IA,Inferior à média,408,no,no,Inferior à média,2,2,3,2,3,1,1,1,no
52,IN,Inferior à média,408,no,no,Inferior à média,3,0,2,3,3,3,1,0,no
53,VA,Inferior à média,408,no,no,Inferior à média,2,2,2,1,3,0,2,2,no
54,UT,Inferior à média,415,no,no,Inferior à média,2,3,3,1,2,1,2,1,no
55,WY,Inferior à média,415,no,no,Inferior à média,2,1,2,3,2,3,2,0,yes
56,IN,Inferior à média,408,no,no,Inferior à média,2,1,3,1,3,2,2,0,no
57,CO,Igual ou superior à média,415,no,no,Inferior à média,1,2,2,0,1,3,1,0,no
58,CO,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,3,0,1,2,1,1,0,yes
60,OK,Igual ou superior à média,408,no,no,Inferior à média,3,2,2,3,2,2,3,3,no
61,ID,Igual ou superior à média,408,no,no,Inferior à média,2,2,1,2,1,0,2,1,no
62,CA,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,1,2,4,1,2,2,0,no
63,MN,Inferior à média,510,no,yes,Igual ou superior à média,2,2,3,2,1,2,3,0,no
64,SD,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,2,0,3,0,3,0,no
65,NC,Inferior à média,408,no,no,Inferior à média,1,2,1,2,1,2,1,2,no
66,WA,Inferior à média,415,no,yes,Igual ou superior à média,2,1,1,1,2,2,1,1,no
67,WY,Inferior à média,415,yes,no,Inferior à média,3,2,2,2,1,1,2,1,no
68,MN,Igual ou superior à média,408,yes,no,Inferior à média,1,2,2,3,1,4,1,3,no
69,UT,Igual ou superior à média,408,no,no,Inferior à média,3,1,2,1,1,0,1,0,no
70,TX,Igual ou superior à média,510,no,no,Inferior à média,2,2,1,2,1,2,3,0,yes
71,NJ,Igual ou superior à média,408,no,no,Inferior à média,3,2,2,1,4,2,2,2,no
72,MN,Igual ou superior à média,510,no,yes,Igual ou superior à média,3,2,2,1,3,0,3,0,no
73,NM,Igual ou superior à média,510,no,no,Inferior à média,3,1,1,1,2,2,1,1,no
